m.05qck	Presidential Medal of Freedom	award.award_category,award.award,book.book_subject
m.0m0mlwl	University of Montenegro Faculty of Economics	location.location,education.educational_institution,organization.organization,business.employer
m.080yk	Victoria University, Toronto	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.0gwt7w	Faculty of Electrical Engineering and Computing, University of Zagreb	education.educational_institution,organization.organization,business.employer
m.026svfh	Nightingale-Bamford School	education.educational_institution,organization.organization,business.business_operation,education.school,business.employer
m.04j_d7	Central High School	education.educational_institution,organization.organization,business.employer,education.school
m.01rqn8	Brentwood School, Essex	education.educational_institution,organization.organization,education.school,business.employer
m.01clyb	Magdalene College, Cambridge	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.015ln1	Dulwich College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.07rgnc	North Springs Charter School of Arts and Sciences	location.location,education.educational_institution,organization.organization,education.school,business.employer
m.07tds	University of Pennsylvania	organization.organization_scope,location.location,film.film_location,business.business_operation,organization.organization_member,internet.website_owner,education.educational_institution,organization.organization,broadcast.radio_station_owner,award.ranked_item,book.periodical_publisher,organization.organization_founder,education.educational_institution_campus,business.employer
m.08qnnv	Indiana University	business.business_operation,architecture.architectural_structure_owner,education.educational_institution,organization.organization,computer.software_developer,award.ranked_item,book.periodical_publisher,book.author,business.employer
m.08j3yg	Academy of Contemporary Music	education.educational_institution,organization.organization,award.award_winner,business.employer
m.06ch1_	Hillsborough High School	location.location,education.educational_institution,organization.organization,education.school,business.employer
m.06rkfs	Franklin & Marshall College	location.location,symbols.namesake,education.educational_institution,organization.organization,award.ranked_item,business.business_operation,education.educational_institution_campus,business.employer
m.03qzc6	Southern Utah University	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.02jqc9	Repton School	education.educational_institution,organization.organization,education.school,business.employer
m.07sj01	Ananda College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.04j3bn	Royal Grammar School, Newcastle	education.educational_institution,organization.organization,business.employer,education.school
m.0ccrw9	Beaumont College	education.educational_institution,organization.organization,business.employer,education.school
m.027q53h	Immaculate Conception Seminary School of Theology	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.04bb18	University of Havana	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.019vsw	Harrow School	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer,education.school
m.092gkv	Saint Francis High School	education.educational_institution,organization.organization,education.school,business.employer
m.04lwtx	Pangbourne College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.06dd4k	St. Paul's College	education.educational_institution,organization.organization,business.employer
m.02_cqs	Ampleforth College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer,education.school
m.06y70_	Wesley College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.05c30yj	East Providence High School	education.educational_institution,organization.organization,education.school,business.employer
m.043kg20	Aurora College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.02cttt	University at Buffalo	location.location,education.educational_institution,organization.organization,award.ranked_item,organization.organization_member,education.educational_institution_campus,business.employer
m.075wjt	Hawken School	location.location,education.educational_institution,organization.organization,business.business_operation,education.school,business.employer
m.0266_hq	St. Michael's High School	education.educational_institution,organization.organization,education.school,business.employer
m.0bt8p8	Bakersfield College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.095njx	Sorbonne	location.location,education.educational_institution,organization.organization,architecture.structure,business.employer
m.0bd8gm	Poly Prep Country Day School	education.educational_institution,organization.organization,business.business_operation,education.school,business.employer
m.01n1pp	University of Bologna	location.location,education.educational_institution,organization.organization,book.periodical_publisher,business.sponsor,education.educational_institution_campus,business.employer,internet.website_owner
m.062p2r	Kingston Grammar School	location.location,education.educational_institution,organization.organization,education.school,business.employer
m.0bx8pn	University of North Carolina at Chapel Hill	organization.organization_scope,location.location,education.educational_institution,organization.organization,award.ranked_item,organization.organization_member,business.employer
m.04lfbp4	Richard King High School	education.educational_institution,organization.organization,education.school,business.employer
m.03kf1m	Bedford Modern School	education.educational_institution,organization.organization,education.school,business.employer
m.0ch21g	Point Grey Secondary School	education.educational_institution,organization.organization,education.school,business.employer
m.04dptq	The Leys School	education.educational_institution,organization.organization,education.school,business.employer
m.0g8fs	United States Naval Academy	location.location,education.educational_institution,organization.organization,book.author,award.ranked_item,education.educational_institution_campus,protected_sites.listed_site,business.employer
m.08smvy	LDS Business College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.02cw8s	Conservatoire de Paris	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.0269p8v	International School of Luxembourg	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.047fkt_	Norwegian National Academy of Theatre	education.educational_institution,organization.organization,business.employer
m.09f2j	University of California, Los Angeles	location.location,film.production_company,organization.organization_member,business.business_operation,internet.website_owner,architecture.architectural_structure_owner,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.0ylsr	Corpus Christi College, Oxford	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.07thl	University of Bergen	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.05f8dcp	National Academy of Music	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.028w4z	Clifton College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.07x3r8	Elgin High School	education.educational_institution,organization.organization,business.employer,education.school
m.077v4q	Point Loma Nazarene University	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.01qv9m	Arkansas State University	location.location,education.educational_institution,organization.organization,award.ranked_item,organization.organization_member,education.educational_institution_campus,business.employer
m.01722w	Westminster School	education.educational_institution,organization.organization,education.school,business.employer
m.0dbns	Winchester College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.07vgd	University of California	education.educational_institution,organization.organization,business.employer
m.07sr_x	Mount Carmel High School	education.educational_institution,organization.organization,education.school,business.employer
m.0bsnm	Concordia University	location.location,education.educational_institution,organization.organization,organization.organization_member,education.educational_institution_campus,business.employer
m.0b75hs	Fredric G. Levin College of Law	location.location,education.educational_institution,organization.organization,book.periodical_publisher,award.ranked_item,education.educational_institution_campus,business.employer
m.0d5fb	Rugby School	education.educational_institution,organization.organization,fictional_universe.fictional_setting,film.film_subject,fictional_universe.fictional_employer,book.book_subject,education.school,business.employer
m.01t8lq	Lawrence University	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.09gd7tn	Thomas Jefferson High School	location.location,education.educational_institution,organization.organization,business.employer,protected_sites.listed_site,education.school,architecture.structure
m.0bvmxm	Heath Grammar School	location.location,education.educational_institution,organization.organization,education.school,business.employer
m.0gk7z	University of Bristol	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,book.book_subject,business.employer
m.0bwk711	University of Belgrade School of Medicine	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.02583l	Osgoode Hall Law School	location.location,education.educational_institution,organization.organization,book.periodical_publisher,education.educational_institution_campus,business.employer
m.0dq15x	Upper St. Clair High School	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.03wv2g	Mercer University	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.01r3y2	Miami University	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.05h9h_	Harlaw Academy	education.educational_institution,organization.organization,protected_sites.listed_site,education.school,business.employer
m.03fdv7	The Second City	education.educational_institution,organization.organization,award.award_winner,book.book_subject,business.employer
m.02pq1w2	Faculdade de Direito da Universidade de São Paulo	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.0dy0ch	Highline High School	education.educational_institution,organization.organization,education.school,business.employer
m.0220q6	University of Illinois at Urbana–Champaign	location.location,organization.organization_member,architecture.architectural_structure_owner,education.educational_institution,organization.organization,award.ranked_item,book.periodical_publisher,education.educational_institution_campus,book.book_subject,business.employer
m.05bk47	Overbrook High School	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer,education.school,protected_sites.listed_site
m.096qv4	Palm Beach State College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.0gkkf	Jesus College, Cambridge	symbols.namesake,education.educational_institution,organization.organization,business.employer
m.027lrxm	Sonoma Valley High School	location.location,education.educational_institution,organization.organization,education.school,business.employer
m.035vp6	Irvine High School	education.educational_institution,organization.organization,education.school,business.employer
m.052nd	McGill University	location.location,organization.organization_member,education.educational_institution,organization.organization,award.ranked_item,book.periodical_publisher,education.educational_institution_campus,business.employer
m.0ymcz	St John's College, Oxford	architecture.architectural_structure_owner,education.educational_institution,organization.organization,business.employer
m.027mbmt	Altrincham Grammar School for Boys	education.educational_institution,organization.organization,education.school,business.employer
m.01cyd5	Phillips Exeter Academy	education.educational_institution,organization.organization,business.business_operation,education.school,business.employer
m.0hpv3	Yeshiva University	location.location,education.educational_institution,organization.organization,book.periodical_publisher,award.ranked_item,business.business_operation,education.educational_institution_campus,business.employer
m.015q8z	Manhattan Christian College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.0bjqh	School of the Art Institute of Chicago	location.location,education.educational_institution,organization.organization,award.award_nominee,education.educational_institution_campus,award.award_winner,business.employer
m.084wvj	John Muir High School	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.063yl8w	Norwegian Military College	education.educational_institution,organization.organization,business.employer
m.050kyt	Prince of Wales College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.09331w	The Bishop David Brown School	education.educational_institution,organization.organization,business.employer
m.0c2xmj	Colegio San Agustín	education.educational_institution,organization.organization,education.school,business.employer
m.02w0tvh	St. Mary's Catholic High School, Menston	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.0464rr	Académie Colarossi	education.educational_institution,organization.organization,business.employer
m.09d2cs	Aiken High School	education.educational_institution,organization.organization,education.school,business.employer
m.0c5_ts	Bishop Vesey's Grammar School	location.location,education.educational_institution,organization.organization,education.school,business.employer
m.07wjk	University of Toronto	location.location,organization.organization_member,internet.website_owner,architecture.architectural_structure_owner,education.educational_institution,organization.organization,award.ranked_item,book.periodical_publisher,education.educational_institution_campus,business.employer
m.057d4r	University of Zambia	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.01flrh	Moody Bible Institute	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.09fs6d	Madeira School	education.educational_institution,organization.organization,business.business_operation,education.school,business.employer
m.03dtmp	Royal High School, Edinburgh	education.educational_institution,organization.organization,education.school,business.employer
m.0d_kl9	Dulwich Prep London	location.location,education.educational_institution,organization.organization,business.employer
m.01hl_w	University of Western Australia	location.location,education.educational_institution,award.award_presenting_organization,organization.organization,metropolitan_transit.transit_stop,award.ranked_item,education.educational_institution_campus,business.employer
m.0gg2yh	Withrow High School	location.location,education.educational_institution,organization.organization,business.employer,education.school,protected_sites.listed_site,architecture.structure
m.021q2j	Polytechnic Institute of New York University	location.location,education.educational_institution,organization.organization,award.ranked_item,business.business_operation,education.educational_institution_campus,business.employer
m.067sf6	Chaparral High School	education.educational_institution,organization.organization,education.school,business.employer
m.0512lt	National Cathedral School	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.026gvfj	Lee Strasberg Theatre and Film Institute	education.educational_institution,organization.organization,business.employer
m.0crf6_1	INSAS	education.educational_institution,organization.organization,business.employer
m.0765t_w	Antioch High School	education.educational_institution,organization.organization,education.school,business.employer
m.019vvv	Merchant Taylors' School, Northwood	education.educational_institution,organization.organization,education.school,business.employer
m.0gjv_	University of London	location.location,architecture.architectural_structure_owner,education.educational_institution,organization.organization,book.periodical_publisher,education.educational_institution_campus,business.employer
m.0l0wv	Rochester Institute of Technology	location.location,education.educational_institution,organization.organization,award.ranked_item,business.business_operation,education.educational_institution_campus,award.award_winner,business.employer
m.0418d0	Hampden–Sydney College	location.location,education.educational_institution,organization.organization,award.ranked_item,business.business_operation,education.educational_institution_campus,business.employer
m.02kzfw	London Business School	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.017cy9	University of British Columbia	location.location,film.film_location,internet.website_owner,education.educational_institution,organization.organization,award.ranked_item,book.periodical_publisher,education.educational_institution_campus,business.employer
m.0f9dmm	Charles D. Owen High School	education.educational_institution,organization.organization,education.school,business.employer
m.0c50w2	Handsworth Secondary School	education.educational_institution,organization.organization,education.school,business.employer
m.05p1qx	Geelong Grammar School	education.educational_institution,organization.organization,education.school,business.employer
m.01vmv_	Queen's University Belfast	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.07vk2	University of Sydney	location.location,education.educational_institution,organization.organization,award.award_nominee,award.ranked_item,education.educational_institution_campus,business.employer
m.02jfqx	West Los Angeles College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.07xl2f	Moeller High School	education.educational_institution,organization.organization,education.school,business.employer
m.01sgyx	Sydney Boys High School	education.educational_institution,organization.organization,education.school,business.employer
m.09w33r	Washington Park High School	education.educational_institution,organization.organization,business.employer,education.school
m.01s7pm	University of Texas at El Paso	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.027ynzq	Northmor High School	education.educational_institution,organization.organization,education.school,business.employer
m.0bwfn	New York University	organization.organization_scope,location.location,business.business_operation,organization.organization_member,architecture.architectural_structure_owner,education.educational_institution,award.award_presenting_organization,organization.organization,award.ranked_item,award.award_winner,education.educational_institution_campus,periodicals.newspaper_circulation_area,business.employer
m.02qmk3h	Basic Education High School No. 1 Dagon	education.educational_institution,organization.organization,business.employer,education.school
m.01605c	Monmouth College	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.0262w1	St. Albans School	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.083ly5	Ballarat Grammar School	education.educational_institution,organization.organization,business.employer,education.school
m.01lcp9	St. Michael's College School	education.educational_institution,organization.organization,education.school,business.employer
m.02ptzqg	Norwich School	location.location,education.educational_institution,organization.organization,education.school,business.employer
m.07th_	Blindern	location.location,education.educational_institution,organization.organization,film.production_company,book.periodical_publisher,organization.organization_founder,award.ranked_item,education.educational_institution_campus,business.employer,internet.website_owner
m.01g0p5	Royal Academy of Music	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.09s08s	Islamia College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.0db4jz	Beaverton High School	education.educational_institution,organization.organization,education.school,business.employer
m.04_5x3	Magdalen College School, Oxford	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer,education.school
m.0278z4_	John Burroughs High School	education.educational_institution,organization.organization,education.school,business.employer
m.019vw5	St Paul's School, London	education.educational_institution,organization.organization,education.school,business.employer
m.01w5m	Columbia University	organization.organization_scope,location.location,symbols.namesake,organization.organization_member,internet.website_owner,architecture.architectural_structure_owner,education.educational_institution,award.award_presenting_organization,organization.organization,book.author,award.ranked_item,book.periodical_publisher,organization.organization_founder,book.book_subject,business.employer
m.05wwmg	Anglican Church Grammar School	education.educational_institution,organization.organization,business.employer,education.school
m.031q3w	Horace Mann School	education.educational_institution,organization.organization,education.school,business.employer
m.024v8c	Griffith University	education.educational_institution,organization.organization,business.employer
m.09yjxs	Ardingly College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.0gdvz7	University of Nebraska–Lincoln College of Law	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.027ykph	Milton-Union High School	education.educational_institution,organization.organization,business.employer,education.school
m.077s67	Merchiston Castle School	education.educational_institution,organization.organization,education.school,business.employer
m.02wbk81	Edgbaston High School	education.educational_institution,organization.organization,education.school,business.employer
m.015401	University of Tehran	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.09wv__	Art Students League of New York	education.educational_institution,organization.organization,business.business_operation,education.school,business.employer
m.02gn8s	Pasadena City College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,award.award_winner,business.employer
m.06rk28	Lakeview Centennial High School	education.educational_institution,organization.organization,education.school,business.employer
m.06rt4b	Abingdon School	education.educational_institution,organization.organization,education.school,business.employer
m.01qgr3	University of Tennessee	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,award.award_winner,business.employer,internet.website_owner
m.06g96s	Academy of Fine Arts, Munich	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.05yy45	Jarvis Collegiate Institute	education.educational_institution,organization.organization,education.school,business.employer
m.090r53	Monkton Combe School	education.educational_institution,organization.organization,education.school,business.employer
m.067zgy	St Edward's School, Oxford	education.educational_institution,organization.organization,education.school,business.employer
m.03jjh2	Mount St. Mary's University	location.location,symbols.namesake,education.educational_institution,organization.organization,award.ranked_item,business.business_operation,education.educational_institution_campus,business.employer
m.02vpm81	National Theatre, Melbourne	location.location,education.educational_institution,organization.organization,architecture.structure,business.employer,travel.tourist_attraction
m.0h1fj7q	Myrtle Beach High School	location.location,education.educational_institution,organization.organization,education.school,business.employer
m.0407dn	Bradfield College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.02vrglb	Northwestern Military and Naval Academy	education.educational_institution,organization.organization,business.employer
m.07bnjw	St. Thomas Aquinas High School	education.educational_institution,organization.organization,business.employer,education.school
m.02rgdnp	Trinity Laban Conservatoire of Music and Dance	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.0f8tys	Corvallis High School	education.educational_institution,organization.organization,education.school,business.employer
m.02ps55	University of Hull	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.02yxsb	Royal School of Mines	education.educational_institution,organization.organization,business.employer
m.03h0qnc	Park House School	education.educational_institution,organization.organization,business.employer,education.school
m.021z2k	Universidade Federal de Minas Gerais	location.location,education.educational_institution,organization.organization,film.production_company,award.ranked_item,business.business_operation,education.educational_institution_campus,business.employer
m.02vq0lk	Scripps Ranch High School	education.educational_institution,organization.organization,business.employer,education.school
m.0dryp8n	Mercer Area Middle-High School	education.educational_institution,organization.organization,education.school,business.employer
m.013807	San Francisco State University	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.0983v0	Brother Rice High School	education.educational_institution,organization.organization,education.school,business.employer
m.02g839	Berklee College of Music	location.location,education.educational_institution,organization.organization,award.ranked_item,business.business_operation,education.educational_institution_campus,business.employer
m.02ljdw	USC School of Cinematic Arts	location.location,education.educational_institution,organization.organization,award.award_nominee,business.employer,internet.website_owner
m.03jh1l	The Dalton School	education.educational_institution,organization.organization,education.school,business.employer
m.02pvzss	Rancho Cotate High School	education.educational_institution,organization.organization,education.school,business.employer
m.0cl43q	Peabody High School	location.location,education.educational_institution,organization.organization,award.award_nominee,education.educational_institution_campus,education.school,business.employer
m.0bh9ly	St John's Marlborough	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.0cb3vj	Liverpool College of Art	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,architecture.structure,business.employer
m.02c3rj	Guy's Hospital	location.location,medicine.hospital,education.educational_institution,organization.organization,book.periodical_publisher,education.educational_institution_campus,business.employer
m.05n752	The Westminster Schools	education.educational_institution,organization.organization,business.business_operation,business.employer,education.school
m.01w885	United States Army Command and General Staff College	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.05l5q_	Hobart College, Tasmania	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.01n4w_	Washington and Lee University	location.location,organization.organization_scope,symbols.namesake,business.business_operation,award.ranked_list,education.educational_institution,organization.organization,award.ranked_item,book.periodical_publisher,education.educational_institution_campus,business.employer
m.09sdq0	Joint Service Defence College	education.educational_institution,organization.organization,business.employer
m.08fm0b	Southington High School	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.04js2j	Stowe School	education.educational_institution,organization.organization,business.employer,education.school
m.02rlt6	American Academy in Rome	education.educational_institution,award.award_presenting_organization,organization.organization,business.employer
m.01jq34	University of Maryland, College Park	location.location,film.production_company,organization.organization_member,education.educational_institution,organization.organization,award.ranked_item,award.award_winner,education.educational_institution_campus,book.book_subject,business.employer
m.03818y	Clark Atlanta University	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.01wdl3	University of Alabama	location.location,education.educational_institution,organization.organization,book.newspaper_owner,award.ranked_item,education.educational_institution_campus,business.employer
m.0f8wmd	William T. Dwyer High School	education.educational_institution,organization.organization,education.school,business.employer
m.0g1y4n	Baylor Law School	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.0bxvfk	Redwood High School	education.educational_institution,organization.organization,education.school,business.employer
m.0dddwj	Methodist Ladies' College, Perth	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.015zyd	California Institute of the Arts	location.location,film.production_company,film.film_location,business.business_operation,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.02kbtf	Hamilton College	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.0d4ryv	Cleveland High School	education.educational_institution,organization.organization,education.school,business.employer
m.08t8wk	Foothill High School	education.educational_institution,organization.organization,education.school,business.employer
m.0f102	University of Idaho	location.location,education.educational_institution,organization.organization,book.periodical_publisher,award.ranked_item,education.educational_institution_campus,award.award_winner,business.employer
m.0279x01	Columbia High School	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.0fm16z	Queen Elizabeth High School, Carmarthen	education.educational_institution,organization.organization,business.employer,education.school
m.01lckm	St. Michael's College, Toronto	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.05_dg6	University of Ouagadougou	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.0ymgk	Worcester College, Oxford	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,business.employer
m.07wm6	University of Manitoba	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer
m.01ptt7	University of Kentucky	location.location,architecture.architectural_structure_owner,education.educational_institution,organization.organization,award.ranked_item,business.employer
m.0b__h8m	Claude High School	location.location,education.educational_institution,organization.organization,education.school,business.employer
m.09zvkt	Filer High School	location.location,education.educational_institution,organization.organization,education.educational_institution_campus,education.school,business.employer
m.0gdm1	Amherst College	location.location,education.educational_institution,organization.organization,award.ranked_item,education.educational_institution_campus,business.employer,symbols.name_source
m.03cjjw9	Palmerston North Intermediate Normal School	education.educational_institution,organization.organization,business.employer
m.01qhm_	German American	people.ethnicity
m.0jt85pd	Greeks	people.ethnicity
m.03bkbh	Irish people	people.ethnicity,book.book_subject
m.047ch9x	Afro-Jamaican	people.ethnicity
m.02c31t	Lithuanians	people.ethnicity
m.018hlv	Flemish people	people.ethnicity
m.064pj	Persian people	people.ethnicity
m.071x0k	Filipino	people.ethnicity
m.0fz6b	Hmong people	people.ethnicity
m.048z7l	Jewish American	people.ethnicity,book.book_subject
m.0222qb	Italian people	people.ethnicity
m.027hhf	Arbëreshë people	people.ethnicity
m.09zyn5	Norwegians	people.ethnicity
m.07bch9	Scottish American	people.ethnicity
m.041rx	Jewish people	people.ethnicity,military.military_combatant,film.film_subject,book.book_subject
m.022dp5	Polish American	people.ethnicity
m.03lmx1	Scottish people	people.ethnicity
m.0g6ff	Russian	people.ethnicity,book.book_subject
m.02tbv6	Montenegrins	people.ethnicity
m.08qxcx	Iranian Armenians	people.ethnicity
m.0j6x8	Indigenous Australians	people.ethnicity,film.film_subject,book.book_subject
m.0fqp6zk	Bengali Hindus	people.ethnicity
m.01nft3	Assyrian people	people.ethnicity
m.01p7s6	Poles	people.ethnicity
m.03d26m9	Hondurans	people.ethnicity
m.0fc2cq	Banjar people	people.ethnicity
m.09k5jvk	Mexican people	people.ethnicity
m.063k3h	Scotch-Irish American	people.ethnicity
m.0dqqwy	Danish American	people.ethnicity
m.07lv5x	Bahamian American	people.ethnicity
m.01h4n	Basques	people.ethnicity
m.02jvpv	Kiwi	people.ethnicity
m.0268_k	Danes	people.ethnicity,book.book_subject
m.0bms44	Louisiana Creole people	people.ethnicity
m.013y54	Han Chinese	people.ethnicity,book.book_subject
m.0dryh9k	Indian people	people.ethnicity
m.0j4w_	Croats	people.ethnicity
m.0432mrk	Indigenous peoples of the Americas	people.ethnicity,military.military_combatant,book.book_subject
m.03kbr	Hindu	people.ethnicity,religion.religion,book.book_subject
m.02r_qms	Brazilians	people.ethnicity
m.04nbqd	Indo people	people.ethnicity
m.04_35x	Samoans	people.ethnicity
m.032j30	Native Hawaiians	people.ethnicity,book.book_subject
m.013xrm	Germans	people.ethnicity,military.military_combatant
m.0jt7v76	Palestinian people	people.ethnicity,military.military_combatant,film.film_subject
m.01l0ty	Tibetan people	people.ethnicity
m.0d29z	Overseas Chinese	people.ethnicity
m.0c41n	Acadians	people.ethnicity,symbols.namesake
m.04wysy	Dalit	people.ethnicity
m.013b7g	Sephardi Jews	people.ethnicity
m.01267	Albanians	people.ethnicity
m.02kr2h	Circassians	people.ethnicity
m.033tf_	Irish American	people.ethnicity,book.book_subject
m.03vghh	Portuguese people	people.ethnicity
m.0dbxy	Cherokee	people.ethnicity,military.military_combatant,book.book_subject
m.087dz_	Gamilaraay	people.ethnicity
m.03ttfc	Spanish people	people.ethnicity
m.01g0y_	Ojibwe	people.ethnicity
m.02q386h	Asturians	people.ethnicity
m.0zn1bnk	West Indian	people.ethnicity
m.02p5zsd	Luxembourgers	people.ethnicity
m.0fp4n	Tatars	people.ethnicity,military.military_combatant
m.0gcp7x	Iranian Azerbaijanis	people.ethnicity
m.01kg2v	Brahmin	people.ethnicity
m.07f7h7	Sara people	people.ethnicity
m.04c28	Kurds	people.ethnicity,book.book_subject
m.03y6p0	Tamang people	people.ethnicity
m.09fhsg	Maltese people	people.ethnicity
m.05748	Māori people	people.ethnicity
m.022fdt	Armenians	people.ethnicity
m.012c1l	French Canadian	people.ethnicity,book.book_subject
m.09743	Pashtun	people.ethnicity
m.0g0x7_	Gujarati people	people.ethnicity
m.01btfz	Purépecha people	people.ethnicity
m.0g6g7	Serbs	people.ethnicity
m.09tqq8q	Ghanaian people	people.ethnicity
m.01trsl	First Nations	people.ethnicity
m.013s2p	Bosniaks	people.ethnicity
m.0401rq	Kamba people	people.ethnicity
m.012f86	Ukrainians	people.ethnicity
m.01xhh5	Koreans	people.ethnicity
m.01hd_l	Yaqui	people.ethnicity
m.01g7zj	Mexican American	people.ethnicity
m.0bpjh3	Bengali people	people.ethnicity
m.02w7gg	English people	people.ethnicity,tv.tv_genre,book.book_subject
m.09c7w0	United States of America	biology.breed_origin,meteorology.cyclone_affected_area,organization.organization_scope,location.location,film.film_location,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,location.administrative_division,organization.organization_founder,business.business_location,sports.sport_country,government.governmental_jurisdiction,organization.organization_sector,location.country,fictional_universe.fictional_setting,location.statistical_region,symbols.name_source,film.film_subject,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,business.employer
m.027rn	Dominican Republic	meteorology.cyclone_affected_area,organization.organization_scope,location.location,location.country,organization.organization_member,location.statistical_region,travel.travel_destination,olympics.olympic_participating_country,location.administrative_division,sports.sports_team_location,organization.organization_founder,sports.sport_country,book.book_subject,government.governmental_jurisdiction
